algo,heuristic,epsilon,difficulty,instance_id,solved,cost,optimal_cost,subopt_ratio,nodes_expanded,nodes_generated,elapsed_ms
focal_search,linear_conflict,1.5,easy,2,True,24,22,1.0909,44,97,3.23
focal_search,linear_conflict,1.5,medium,0,True,32,30,1.0667,239,491,14.98
focal_search,linear_conflict,1.5,medium,1,True,33,33,1.0,1014,2047,63.21
focal_search,linear_conflict,1.5,medium,2,True,31,31,1.0,1872,3857,114.71
ees,linear_conflict,1.5,easy,0,True,16,16,1.0,19,45,2.54
ees,linear_conflict,1.5,easy,1,True,16,16,1.0,17,39,1.88
ees,linear_conflict,1.5,easy,2,True,24,22,1.0909,44,97,4.67
ees,linear_conflict,1.5,medium,0,True,32,30,1.0667,239,491,26.71
ees,linear_conflict,1.5,medium,1,True,33,33,1.0,1014,2047,104.53
ees,linear_conflict,1.5,medium,2,True,31,31,1.0,1880,3869,185.71
weighted_astar,linear_conflict,2.0,easy,0,True,16,16,1.0,19,45,0.68
weighted_astar,linear_conflict,2.0,easy,1,True,16,16,1.0,17,39,0.57
weighted_astar,linear_conflict,2.0,easy,2,True,22,22,1.0,28,66,1.01
weighted_astar,linear_conflict,2.0,medium,0,True,32,30,1.0667,163,333,5.1
weighted_astar,linear_conflict,2.0,medium,1,True,39,33,1.1818,499,1031,14.99
weighted_astar,linear_conflict,2.0,medium,2,True,33,31,1.0645,197,431,6.73
focal_search,linear_conflict,2.0,easy,0,True,16,16,1.0,19,45,1.55
focal_search,linear_conflict,2.0,easy,1,True,16,16,1.0,17,39,1.33
focal_search,linear_conflict,2.0,easy,2,True,24,22,1.0909,44,97,3.44
focal_search,linear_conflict,2.0,medium,0,True,44,30,1.4667,1003,2043,64.27
focal_search,linear_conflict,2.0,medium,1,True,45,33,1.3636,130,279,11.36
focal_search,linear_conflict,2.0,medium,2,True,41,31,1.3226,99,215,7.13
ees,linear_conflict,2.0,easy,0,True,16,16,1.0,19,45,2.22
ees,linear_conflict,2.0,easy,1,True,16,16,1.0,17,39,2.63
ees,linear_conflict,2.0,easy,2,True,24,22,1.0909,44,97,4.76
ees,linear_conflict,2.0,medium,0,True,44,30,1.4667,1081,2201,114.41
ees,linear_conflict,2.0,medium,1,True,45,33,1.3636,130,279,13.8
ees,linear_conflict,2.0,medium,2,True,41,31,1.3226,99,215,10.07
weighted_astar,linear_conflict,3.0,easy,0,True,16,16,1.0,19,45,0.66
weighted_astar,linear_conflict,3.0,easy,1,True,16,16,1.0,17,39,0.66
weighted_astar,linear_conflict,3.0,easy,2,True,22,22,1.0,34,77,1.3
weighted_astar,linear_conflict,3.0,medium,0,True,32,30,1.0667,204,420,6.62
weighted_astar,linear_conflict,3.0,medium,1,True,45,33,1.3636,211,439,6.23
weighted_astar,linear_conflict,3.0,medium,2,True,33,31,1.0645,70,153,2.42
focal_search,linear_conflict,3.0,easy,0,True,16,16,1.0,19,45,1.63
focal_search,linear_conflict,3.0,easy,1,True,16,16,1.0,17,39,1.35
focal_search,linear_conflict,3.0,easy,2,True,24,22,1.0909,44,97,4.38
focal_search,linear_conflict,3.0,medium,0,True,60,30,2.0,264,551,19.77
focal_search,linear_conflict,3.0,medium,1,True,45,33,1.3636,130,279,10.08
focal_search,linear_conflict,3.0,medium,2,True,41,31,1.3226,99,215,8.38
ees,linear_conflict,3.0,easy,0,True,16,16,1.0,19,45,2.3
ees,linear_conflict,3.0,easy,1,True,16,16,1.0,17,39,1.97
ees,linear_conflict,3.0,easy,2,True,24,22,1.0909,44,97,6.13
ees,linear_conflict,3.0,medium,0,True,60,30,2.0,264,551,30.37
ees,linear_conflict,3.0,medium,1,True,45,33,1.3636,130,279,14.2
ees,linear_conflict,3.0,medium,2,True,41,31,1.3226,99,215,12.03
